time,r TA_C1.Vt,r TC_C1.Vt
0.0353353,8.70073,7.88869
0.0353854,8.87373,8.06113
0.0354354,9.04357,8.23043
0.0354855,9.21019,8.39653
0.0355355,9.37353,8.55938
0.0355856,9.53354,8.71891
0.0356356,9.69015,8.87506
0.0356857,9.84331,9.02778
0.0357357,9.99297,9.17701
0.0357858,10.1391,9.3227
0.0358358,10.2816,9.4648
0.0358859,10.4204,9.60325
0.0359359,10.5555,9.73801
0.035986,10.6869,9.86903
0.036036,10.8144,9.99625
0.0360861,10.9381,10.1196
0.0361361,11.0579,10.2392
0.0361862,11.1738,10.3547
0.0362362,11.2857,10.4664
0.0362863,11.3936,10574
0.0363363,11.4974,10.6775
0.0363864,11.5971,10777
0.0364364,11.6928,10.8724
0.0364865,11.7842,10.9636
0.0365365,11.8714,11.0507
0.0365866,11.9545,11.1335
0.0366366,12.0332,11.2121
0.0366867,12.1077,11.2864
0.0367367,12.1779,11.3564
0.0367868,12.2437,11.4221
0.0368368,12.3052,11.4834
0.0368869,12.3623,11.5404
0.0369369,12415,11593
0.036987,12.4632,11.6411
0.037037,12.5071,11.6849
0.0370871,12.5464,11.7242
0.0371371,12.5814,11759
0.0371872,12.6118,11.7894
0.0372372,12.6377,11.8153
0.0372873,12.6592,11.8367
0.0373373,12.6761,11.8536
0.0373874,12.6886,11866
0.0374374,12.6965,11.8739
0.0374875,12.6999,11.8772
0.0375375,12.6987,11.8761
0.0375876,12.6931,11.8705
0.0376376,12.6829,11.8603
0.0376877,12.6682,11.8457
0.0377377,12649,11.8265
0.0377878,12.6253,11.8029
0.0378378,12.5971,11.7747
0.0378879,12.5645,11.7421
0.0379379,12.5273,11.7051
0.037988,12.4857,11.6635
0.038038,12.4396,11.6176
0.0380881,12.3892,11.5672
0.0381381,12.3343,11.5124
0.0381882,12275,11.4533
0.0382382,12.2113,11.3898
0.0382883,12.1433,11.3219
0.0383383,12071,11.2498
0.0383884,11.9944,11.1733
0.0384384,11.9135,11.0926
0.0384885,11.8283,11.0077
0.0385385,11739,10.9185
0.0385886,11.6455,10.8252
0.0386386,11.5478,10.7278
0.0386887,11446,10.6263
0.0387387,11.3402,10.5207
0.0387888,11.2303,10411
0.0388388,11.1164,10.2974
0.0388889,10.9985,10.1799
0.0389389,10.8768,10.0584
0.038989,10.7511,9.93312
